"PICTURE","ITEM_NUM","UPC"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15G16WH3/1.jpg","#310115","739698310114"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G16WH3/1.jpg","#310125","739698310121"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G16WH3/1.jpg","#310140","739698310145"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60G16WH3/1.jpg","#310160","739698310169"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G16EWH/1.jpg","#310225","739698310220"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G16EWH/1.jpg","#310240","739698310244"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15G16CL3/1.jpg","#311015","739698311012"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G16CL3/1.jpg","#311025","739698311029"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G16CL3/1.jpg","#311040","739698311043"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60G16CL3/1.jpg","#311060","739698311067"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G16ECL/1.jpg","#311225","739698311227"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G16ECL/1.jpg","#311240","739698311241"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G19WH/1.jpg","#320025","739698320021"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G19CL/1.jpg","#321025","739698321028"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G25WH3/1.jpg","#330025","739698330020"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G25WH3/1.jpg","#330040","739698330044"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G25CL3/1.jpg","#331025","739698331027"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G25CL3/1.jpg","#331040","739698331041"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G30WH/1.jpg","#340025","739698340029"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G30WH/1.jpg","#340040","739698340043"
"https://s3.amazonaws.com/bulbrite/product-images/Product/NOS40G30/1.jpg","#342040","739698342009"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G40WH/1.jpg","#350025","739698350028"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G40WH/1.jpg","#350040","739698350042"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60G40WH/1.jpg","#350060","739698350066"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100G40WH/1.jpg","#350100","739698350103"
"https://s3.amazonaws.com/bulbrite/product-images/Product/150G40WH/1.jpg","#350150","739698350158"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G40CL/1.jpg","#351025","739698351025"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G40CL/1.jpg","#351040","739698351049"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60G40CL/1.jpg","#351060","739698351063"
"https://s3.amazonaws.com/bulbrite/product-images/Product/100G40CL/1.jpg","#351100","739698351100"
"https://s3.amazonaws.com/bulbrite/product-images/Product/150G40CL/1.jpg","#351150","739698351155"
"https://s3.amazonaws.com/bulbrite/product-images/Product/B25G16WH/1.jpg","#381025","739698381022"
"https://s3.amazonaws.com/bulbrite/product-images/Product/B40G16WH/1.jpg","#381040","739698381046"
"https://s3.amazonaws.com/bulbrite/product-images/Product/B25G16CL/1.jpg","#381125","739698381121"
"https://s3.amazonaws.com/bulbrite/product-images/Product/B40G16CL/1.jpg","#381140","739698381145"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15G16WH2/1.jpg","#391015","739698391014"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G16WH2/1.jpg","#391025","739698391021"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G16WH2/1.jpg","#391040","739698391045"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60G16WH2/1.jpg","#391060","739698391069"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15G16CL2/1.jpg","#391115","739698391113"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G16CL2/1.jpg","#391125","739698391120"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G16CL2/1.jpg","#391140","739698391144"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60G16CL2/1.jpg","#391160","739698391168"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G25WH2/1.jpg","#393002","739698393025"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G25WH2/1.jpg","#393004","739698393049"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25G25CL2/1.jpg","#393102","739698393124"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40G25CL2/1.jpg","#393104","739698393148"
"https://s3.amazonaws.com/bulbrite/product-images/Product/5CTC_32_3/1.jpg","#400005","739698400051"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTC_32_3/1.jpg","#400025","739698400020"
